country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
AR,-36.9,-62.36,67.28,46.0,8.0,6.06,2019-03-06 00:03:15
US,33.85,-118.12,66.2,59.0,75.0,7.63,2019-03-06 00:01:28
MY,1.24,111.46,73.4,100.0,80.0,3.36,2019-03-05 23:00:00
GB,53.52,-2.49,46.99,87.0,92.0,6.93,2019-03-06 00:03:12
MG,-25.17,45.06,75.65,88.0,48.0,12.33,2019-03-06 00:03:20
PH,15.79,120.99,71.78,84.0,0.0,2.82,2019-03-06 00:02:17
GN,9.52,-13.7,78.03,100.0,0.0,5.95,2019-03-06 00:01:15
US,36.97,-122.03,59.0,71.0,75.0,14.99,2019-03-06 00:00:09
US,39.95,-94.76,21.2,28.0,40.0,14.99,2019-03-05 23:58:35
RU,69.3,139.9,-30.51,47.0,8.0,2.71,2019-03-06 00:03:26
DZ,36.57,4.2,41.63,90.0,0.0,2.04,2019-03-06 00:03:29
RU,60.25,47.79,31.91,93.0,88.0,8.08,2019-03-06 00:03:29
HN,16.35,-86.43,82.4,69.0,20.0,9.17,2019-03-05 23:00:00
CL,-30.6,-71.2,65.75,80.0,0.0,2.82,2019-03-06 00:03:30
AR,-29.41,-66.86,75.2,78.0,0.0,0.92,2019-03-05 23:59:27
RU,59.77,30.8,15.01,78.0,20.0,13.42,2019-03-05 23:55:35
BR,-29.69,-53.81,82.4,65.0,40.0,6.93,2019-03-05 23:00:00
ID,-9.11,124.89,79.2,100.0,76.0,2.82,2019-03-06 00:03:31
JP,24.34,124.16,68.0,88.0,75.0,8.05,2019-03-05 23:43:00
AU,-25.24,130.99,77.0,38.0,0.0,16.11,2019-03-05 23:00:00
CD,2.74,23.78,74.61,90.0,0.0,2.04,2019-03-06 00:03:32
CA,45.78,-71.93,16.0,51.0,20.0,2.24,2019-03-06 00:02:06
US,45.52,-122.67,46.4,38.0,75.0,14.99,2019-03-06 00:03:08
US,30.3,-99.24,46.4,38.0,1.0,8.05,2019-03-06 00:02:21
CD,-4.54,18.6,74.07,92.0,12.0,4.27,2019-03-06 00:03:33
EC,-2.03,-79.75,82.4,78.0,75.0,4.7,2019-03-06 00:01:15
NE,14.51,6.76,67.1,64.0,0.0,2.59,2019-03-06 00:03:34
US,44.1,-69.38,27.0,53.0,1.0,4.7,2019-03-06 00:02:20
,,,,,,,
RU,67.8,130.41,-11.88,52.0,64.0,2.93,2019-03-05 23:59:29
MZ,-23.87,35.38,81.23,85.0,92.0,15.12,2019-03-05 23:59:41
TR,36.95,36.2,54.0,100.0,0.0,4.7,2019-03-06 00:01:42
CA,58.52,-117.13,19.4,57.0,20.0,8.05,2019-03-05 23:00:00
NE,18.74,7.39,60.39,50.0,0.0,3.38,2019-03-06 00:03:35
US,34.64,-120.46,57.2,87.0,90.0,17.22,2019-03-06 00:00:26
,,,,,,,
GA,-3.44,10.65,78.53,100.0,92.0,3.04,2019-03-06 00:03:36
BR,-5.2,-35.46,78.8,88.0,40.0,3.36,2019-03-05 23:00:00
AI,18.22,-63.06,77.0,69.0,40.0,12.75,2019-03-05 23:46:22
SB,-10.46,161.92,83.21,100.0,32.0,9.42,2019-03-05 23:58:46
IR,33.6,56.92,30.2,71.0,0.0,2.59,2019-03-06 00:03:36
AU,-33.85,151.22,93.99,31.0,0.0,9.17,2019-03-06 00:03:04
JP,33.93,134.5,52.0,70.0,75.0,5.82,2019-03-05 23:54:43
KZ,43.6,73.76,33.75,80.0,64.0,4.61,2019-03-06 00:03:37
BR,-17.29,-42.73,73.31,80.0,12.0,7.74,2019-03-06 00:03:37
RU,60.06,69.92,9.45,76.0,8.0,4.94,2019-03-06 00:03:38
MA,34.03,-5.02,57.2,62.0,0.0,11.41,2019-03-05 23:30:00
FR,43.56,6.97,51.01,65.0,0.0,3.36,2019-03-06 00:02:02
